iter	MCC	Logloss
0	0	0.4816447452
1	0	0.3327432697
2	0	0.2341097647
3	0	0.1729423186
4	0	0.131724253
5	0	0.1044434995
6	0	0.08059710708
7	0	0.06688869571
8	0	0.05524942219
9	0	0.04702969868
10	0	0.04132647678
11	0	0.03729476017
12	0	0.03442998996
13	0	0.03232397012
14	0	0.03046114674
15	0.3124754895	0.02928853188
16	0.4152040315	0.02837762253
17	0.462645953	0.02719047087
18	0.4891863744	0.0260960596
19	0.5301019079	0.0253857342
20	0.5301019079	0.02478377438
21	0.5240465143	0.02429407873
22	0.5387294762	0.02395474639
23	0.5428901903	0.0234959925
24	0.5505390772	0.02314325899
25	0.550668363	0.02283028627
26	0.5512522988	0.02258785507
27	0.574596594	0.02235421935
28	0.5811921544	0.0220820439
29	0.5867019843	0.02193307513
30	0.5877981587	0.02176850249
31	0.5880455483	0.0216246108
32	0.5880455483	0.02148699211
33	0.590775036	0.0212840641
34	0.5982084013	0.02113532478
35	0.5895972016	0.02104942863
36	0.5924435687	0.02088955947
37	0.6025076599	0.02076722182
38	0.6030319704	0.02071974642
39	0.6217984359	0.02059654351
40	0.6224618622	0.02055820704
41	0.6130593994	0.02044015508
42	0.6198277366	0.02039218669
43	0.6211956982	0.0203249108
44	0.618128422	0.02028171335
45	0.6196835746	0.02020335615
46	0.6244958267	0.02008110815
47	0.6249566676	0.02005359601
48	0.6266297031	0.01992509526
49	0.6286064756	0.01989857434
50	0.6354739019	0.01985998093
51	0.6347780264	0.01983917714
52	0.6354739019	0.01983235294
53	0.6340843885	0.01969610532
54	0.6352356404	0.01968734116
55	0.6340843885	0.0196747046
56	0.6352356404	0.01959697018
57	0.6373794787	0.01958185136
58	0.6368823777	0.01951701682
59	0.6408495873	0.01943950247
60	0.6685631455	0.01933804601
61	0.6682432324	0.01933395215
62	0.6680771221	0.01921355382
63	0.6665131979	0.01912311677
64	0.6655492383	0.0190593616
65	0.665861719	0.01904359871
66	0.6655492383	0.01902405955
67	0.6682307852	0.01897480228
68	0.6657025379	0.0189530744
69	0.6693277558	0.01891447505
70	0.6675953007	0.01889298881
71	0.6675953007	0.0188794444
72	0.6646044755	0.01886083143
73	0.6649255697	0.01878599517
74	0.6644531937	0.01878429668
75	0.6650770023	0.01877903784
76	0.6647574768	0.01866576049
77	0.6689260489	0.01859597316
78	0.6671617399	0.01855449534
79	0.6664652867	0.0185418389
80	0.6672356303	0.01853921127
81	0.6670579753	0.01849515924
82	0.6674838705	0.0184887518
83	0.663650696	0.01844870929
84	0.6630321605	0.01839181446
85	0.6672997967	0.01837744058
86	0.6686450173	0.01829105711
87	0.6701347483	0.01818600826
88	0.6677760425	0.01815778431
89	0.6679171145	0.01810743458
90	0.668485189	0.01805984837
91	0.669677996	0.01804601599
92	0.669202961	0.01797210006
93	0.669202961	0.0179290638
94	0.6691507377	0.01792481751
95	0.6696254552	0.01791183418
96	0.6699588678	0.01754738722
97	0.6721071383	0.01751450023
98	0.6717145555	0.01751128075
99	0.6710478076	0.01749267263
100	0.6705251282	0.01746592261
101	0.6716958935	0.0174581775
102	0.6720339539	0.01745188516
103	0.6720339539	0.01743206927
104	0.6675679096	0.01742772297
105	0.6671437442	0.0173499817
106	0.668161193	0.01734093318
107	0.6678199874	0.01726410354
108	0.6683684005	0.01725924711
109	0.6697962877	0.01723190424
110	0.6697962877	0.01720613052
111	0.6684333612	0.01717843606
112	0.6684333612	0.01711287948
113	0.6700716779	0.01706433131
114	0.6710849554	0.01703742298
115	0.6710849554	0.01702848082
116	0.6709488673	0.01697149023
117	0.6710849554	0.01696498459
118	0.6706847097	0.01693029508
119	0.6697349188	0.01690914665
120	0.66858735	0.01689825631
121	0.669202961	0.01680171001
122	0.6708231841	0.01659342366
123	0.6704877101	0.01656427853
124	0.6712214451	0.01654879428
125	0.6710212726	0.01651835752
126	0.6704089362	0.01638467011
127	0.677361491	0.01624843041
128	0.6772453792	0.0161131594
129	0.6774238436	0.0161006034
130	0.6750488251	0.01608427979
131	0.6752258164	0.01607432344
132	0.6748283717	0.01601576223
133	0.675625291	0.01591504564
134	0.678864553	0.01590852619
135	0.6783969697	0.01590230591
136	0.678864553	0.01585962614
137	0.6783969697	0.01581527154
138	0.6775020653	0.01579512905
139	0.6772191298	0.01575696527
140	0.6775966058	0.01572574542
141	0.6785344954	0.01562051383
142	0.6779268081	0.01556280634
143	0.6779268081	0.0155318689
144	0.6775966058	0.01550532622
145	0.6771272258	0.01549795914
146	0.6774068913	0.01545045105
147	0.6790574498	0.01542504755
148	0.678920266	0.0154115523
149	0.6830572746	0.01540804103
150	0.6830572746	0.01540396319
151	0.6829239254	0.01534508948
152	0.6849914223	0.01530367897
153	0.6841910741	0.01522809937
154	0.6854015551	0.01521842426
155	0.6860757152	0.01520453964
156	0.6854015551	0.01508462059
157	0.6849353451	0.01503269922
158	0.6855312296	0.01502545816
159	0.6865921186	0.01501702987
160	0.686126853	0.01490384857
161	0.7022449987	0.01489668079
162	0.7009622423	0.01488210364
163	0.701875262	0.01484994914
164	0.701875262	0.01480867164
165	0.6999629992	0.01476413677
166	0.7004199385	0.01470972304
167	0.7025433665	0.01469793783
168	0.7025433665	0.01469287287
169	0.7034549105	0.01468115948
170	0.701875262	0.01462208726
171	0.7014188871	0.01455676078
172	0.7014188871	0.01455046651
173	0.7015419113	0.01454377981
174	0.7015419113	0.01453012803
175	0.7026650862	0.01451283454
176	0.7024540502	0.01447901677
177	0.7032427715	0.01447364364
178	0.7036980711	0.01446716887
179	0.7032427715	0.01444694297
180	0.7038202447	0.01443723189
181	0.7038202447	0.01442294925
182	0.7038202447	0.01441085861
183	0.7051840339	0.01437592334
184	0.7056380978	0.01436984022
185	0.7056089354	0.01430066138
186	0.7056089354	0.01428291007
187	0.7048202141	0.01426577318
188	0.7053954907	0.01425742307
189	0.7046078677	0.01425319023
190	0.7046078677	0.01424400958
191	0.7052747804	0.01423973683
192	0.7049410916	0.01423473756
193	0.7056089354	0.01423213652
194	0.7056089354	0.01417789461
195	0.7072805504	0.0141734206
196	0.7070339791	0.01414444545
197	0.7067889325	0.01414266991
198	0.7064582326	0.01414088303
199	0.7067889325	0.01413591528
200	0.7065811154	0.01408143406
201	0.7065811154	0.01407872887
202	0.7063752328	0.01406273513
203	0.7068280229	0.01405784841
204	0.7061712698	0.01405743307
205	0.7063357335	0.01400665813
206	0.7063357335	0.01399217473
207	0.7065454298	0.01398449414
208	0.7056380978	0.01397764693
209	0.7046997356	0.013967698
210	0.705154469	0.01396626869
211	0.7056089354	0.01396074721
212	0.7057290802	0.01395417495
213	0.7057290802	0.01394621972
214	0.7057290802	0.01390517283
215	0.7057290802	0.01387943345
216	0.7053954907	0.0138666584
217	0.7053954907	0.01385607226
218	0.7055165974	0.01385402103
219	0.7051840339	0.01385136886
220	0.7060918963	0.01385005888
221	0.7062136206	0.01384132474
222	0.7066669869	0.01383426575
223	0.7063357335	0.01383326151
224	0.7050623657	0.01381142287
225	0.7050623657	0.0138058198
226	0.7065454298	0.01380423553
227	0.7064242636	0.01379548089
228	0.7060918963	0.01379252929
229	0.7063034907	0.01379079819
230	0.7065454298	0.01378942714
231	0.7116366803	0.01376058204
232	0.712086906	0.01374685227
233	0.7122068736	0.01374264864
234	0.7117568106	0.01374169854
235	0.7119673242	0.01369424807
236	0.7146642245	0.01366565766
237	0.7151128071	0.01366018717
238	0.7155611334	0.01365733384
239	0.7155611334	0.01365405363
240	0.7184590576	0.01364986429
241	0.7189056619	0.01363724066
242	0.7193520129	0.01362647917
243	0.7192362968	0.01361036956
244	0.7193520129	0.01360700059
245	0.7215799855	0.01356164804
246	0.7286676372	0.01353051097
247	0.728339571	0.01352428402
248	0.7287805523	0.01350575706
249	0.7284530167	0.01348910237
250	0.7288938492	0.01345996069
251	0.7288938492	0.01345423865
252	0.7284530167	0.01343005214
253	0.7288938492	0.01342796522
254	0.7282265074	0.01342629899
255	0.7286676372	0.01342440939
256	0.7292212897	0.01341985432
257	0.7292212897	0.01341948083
258	0.7293344382	0.01341504937
259	0.7288938492	0.0134123956
260	0.7296617836	0.01340810109
261	0.7301020344	0.01340583197
262	0.7301020344	0.0134022117
263	0.7296617836	0.01337916394
264	0.7313206165	0.01337583381
265	0.7313206165	0.0133731268
266	0.7317596996	0.01336576082
267	0.7319728801	0.01336481026
268	0.7315337441	0.01336142406
269	0.7319728801	0.01335365585
270	0.7331770168	0.0133307
271	0.7354773317	0.01332727785
272	0.7358033517	0.01332630866
273	0.734276871	0.01331134321
274	0.7331770168	0.0133105214
275	0.7327384566	0.01329335021
276	0.7340534176	0.01328735833
277	0.7326268627	0.01326903969
278	0.7327384566	0.01324770726
279	0.7331770168	0.01324064914
280	0.7335040331	0.01322159953
281	0.7335040331	0.01321965956
282	0.7339422582	0.01319803759
283	0.7339422582	0.01319576396
284	0.7352554979	0.01319385185
285	0.7365665921	0.01319058991
286	0.7368933712	0.01318589615
287	0.7373298325	0.01316892837
288	0.7373298325	0.01316809
289	0.7368933712	0.01315713046
290	0.7364566728	0.01315387735
291	0.7364566728	0.01314538637
292	0.7364566728	0.0131451278
293	0.7360197368	0.01313715602
294	0.7351451506	0.01312454022
295	0.7354727411	0.01312086792
296	0.7354727411	0.01311339169
297	0.7354727411	0.01311280183
298	0.7375482147	0.01310881758
299	0.737656944	0.01310563203
300	0.7380930728	0.01309022532
301	0.737656944	0.01308750042
302	0.737656944	0.01308260266
303	0.7394000425	0.01307749811
304	0.7394000425	0.01306899718
305	0.739291835	0.01306608862
306	0.739291835	0.01305634128
307	0.7419003026	0.0130525609
308	0.74146615	0.01305189927
309	0.7419003026	0.01305086171
310	0.7419003026	0.01304829038
311	0.7407048949	0.01304510425
312	0.7415736252	0.01302009411
313	0.74146615	0.01301898243
314	0.741139377	0.01301723162
315	0.7424414219	0.01300873358
316	0.7424414219	0.01299988483
317	0.7421153585	0.01299908083
318	0.7421153585	0.01299753184
319	0.7422234559	0.01299565387
320	0.7437397725	0.01298479687
321	0.7428740077	0.01297838505
322	0.7425490026	0.01297519072
323	0.7436345835	0.01297103484
324	0.7440675731	0.01296986475
325	0.7440675731	0.01296950143
326	0.7440675731	0.01296611805
327	0.7439613021	0.01296374953
328	0.7439613021	0.0129620217
329	0.7443941959	0.01295191846
330	0.7440675731	0.01294456994
331	0.7443941959	0.01293274828
332	0.7443941959	0.01293054689
333	0.7439613021	0.0129215735
334	0.7436345835	0.01292019871
335	0.7445003312	0.01290883158
336	0.7445003312	0.01290722653
337	0.744174226	0.01290421431
338	0.7446068481	0.01289702328
339	0.7446068481	0.01289054048
340	0.74579722	0.01288057465
341	0.74579722	0.01287906218
342	0.74579722	0.01286963383
343	0.74579722	0.01286773012
344	0.7462290556	0.01286295083
345	0.7460098204	0.0128547419
346	0.7460098204	0.0128362162
347	0.7459033308	0.01283461106
348	0.7463350316	0.01282816445
349	0.7463350316	0.01282604136
350	0.7463350316	0.01281759954
351	0.7466606616	0.01281248672
352	0.7466606616	0.0128091557
353	0.7470920382	0.01280640556
354	0.7466606616	0.01280240854
355	0.7482798684	0.01279979902
356	0.7481753231	0.01279715541
357	0.7473131811	0.01279274635
358	0.7477443665	0.01278419733
359	0.748502022	0.01277154234
360	0.7486060512	0.01276965396
361	0.7469867111	0.01276556796
362	0.7475361649	0.01276052919
363	0.7478639993	0.01274964492
364	0.7486060512	0.0127442175
365	0.750430571	0.01274321869
366	0.7501052824	0.01271320046
367	0.7512892643	0.01268959357
368	0.7512892643	0.01268294939
369	0.751822145	0.01267991791
370	0.7513932679	0.01267889603
371	0.7513932679	0.01267797635
372	0.7509641653	0.01261530403
373	0.7511856406	0.01261108976
374	0.7519407103	0.01260985412
375	0.7518381126	0.01260148959
376	0.7522670591	0.01258867068
377	0.7522670591	0.01257071355
378	0.7514089403	0.01256490383
379	0.7531242757	0.01256310411
380	0.7527981191	0.01254984556
381	0.7527981191	0.01254848717
382	0.7519407103	0.01254471265
383	0.7527981191	0.01253543279
384	0.7531242757	0.01253069629
385	0.7536546282	0.01252129962
386	0.7536546282	0.01250705568
387	0.753226486	0.01250337891
388	0.753226486	0.01250194168
